schema_version,run_id,suite,grammar_id,parser,case_id,metric,value
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n037,cached_endpoints,23510
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n037,memo_entries,1407
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n037,memo_tags,1
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n037,representative_tree_nodes,872466
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n037,successful_ends,37
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n041,cached_endpoints,3482
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n041,memo_entries,2625
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n041,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n041,representative_tree_nodes,60386
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n041,successful_ends,41
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n043,cached_endpoints,3824
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n043,memo_entries,2882
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n043,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n043,representative_tree_nodes,68879
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n043,successful_ends,43
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n039,cached_endpoints,27585
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n039,memo_entries,1561
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n039,memo_tags,1
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n039,representative_tree_nodes,1078548
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n039,successful_ends,39
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n045,cached_endpoints,4182
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n045,memo_entries,3151
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n045,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n045,representative_tree_nodes,78128
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n045,successful_ends,45
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n047,cached_endpoints,4556
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n047,memo_entries,3432
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n047,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n047,representative_tree_nodes,88165
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n047,successful_ends,47
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n049,cached_endpoints,4946
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n049,memo_entries,3725
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n049,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n049,representative_tree_nodes,99022
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n049,successful_ends,49
